EVALUATION RESULTS:

>>>>>>[EMBRYONAL] - 1.1 - 1/30: train_loss: 0.46941 | train_acc: 86.192 | train_precision: 0.833 | train_recall: 0.143 | train_auc: 0.569
test_loss: 0.33457 | test_acc: 82.353 | test_precision: 0.000 | test_recall: 0.000 | test_auc: 0.500

>>>>>>[EMBRYONAL] - 1.1 - 13/30: train_loss: 0.30188 | train_acc: 84.410 | train_precision: 0.000 | train_recall: 0.000 | train_auc: 0.500
val_loss: 0.33118 | val_acc: 82.258 | val_precision: 0.000 | val_recall: 0.000 | val_auc: 0.500
test_loss: 0.32903 | test_acc: 82.353 | test_precision: 0.000 | test_recall: 0.000 | test_auc: 0.500

>>>>>>[EMBRYONAL] - 1.1 - 14/30: train_loss: 0.29588 | train_acc: 84.410 | train_precision: 0.000 | train_recall: 0.000 | train_auc: 0.500
val_loss: 0.32572 | val_acc: 82.258 | val_precision: 0.000 | val_recall: 0.000 | val_auc: 0.500
test_loss: 0.32382 | test_acc: 82.353 | test_precision: 0.000 | test_recall: 0.000 | test_auc: 0.500

>>>>>>[EMBRYONAL] - 1.1 - 15/30: train_loss: 0.29121 | train_acc: 84.410 | train_precision: 0.000 | train_recall: 0.000 | train_auc: 0.500
val_loss: 0.32069 | val_acc: 82.258 | val_precision: 0.000 | val_recall: 0.000 | val_auc: 0.500
test_loss: 0.31902 | test_acc: 82.353 | test_precision: 0.000 | test_recall: 0.000 | test_auc: 0.500

>>>>>>[EMBRYONAL] - 1.1 - 16/30: train_loss: 0.28543 | train_acc: 84.410 | train_precision: 0.000 | train_recall: 0.000 | train_auc: 0.500
val_loss: 0.31590 | val_acc: 82.258 | val_precision: 0.000 | val_recall: 0.000 | val_auc: 0.500
test_loss: 0.31446 | test_acc: 82.353 | test_precision: 0.000 | test_recall: 0.000 | test_auc: 0.500

>>>>>>[EMBRYONAL] - 1.1 - 17/30: train_loss: 0.29458 | train_acc: 84.410 | train_precision: 0.000 | train_recall: 0.000 | train_auc: 0.500
val_loss: 0.31139 | val_acc: 82.258 | val_precision: 0.000 | val_recall: 0.000 | val_auc: 0.500
test_loss: 0.31016 | test_acc: 82.353 | test_precision: 0.000 | test_recall: 0.000 | test_auc: 0.500

>>>>>>[EMBRYONAL] - 1.1 - 18/30: train_loss: 0.27616 | train_acc: 84.410 | train_precision: 0.000 | train_recall: 0.000 | train_auc: 0.500
val_loss: 0.30714 | val_acc: 82.258 | val_precision: 0.000 | val_recall: 0.000 | val_auc: 0.500
test_loss: 0.30611 | test_acc: 82.353 | test_precision: 0.000 | test_recall: 0.000 | test_auc: 0.500

>>>>>>[EMBRYONAL] - 1.1 - 19/30: train_loss: 0.27165 | train_acc: 84.410 | train_precision: 0.000 | train_recall: 0.000 | train_auc: 0.500
val_loss: 0.30304 | val_acc: 82.258 | val_precision: 0.000 | val_recall: 0.000 | val_auc: 0.500
test_loss: 0.30220 | test_acc: 82.353 | test_precision: 0.000 | test_recall: 0.000 | test_auc: 0.500

>>>>>>[EMBRYONAL] - 1.1 - 20/30: train_loss: 0.26818 | train_acc: 84.410 | train_precision: 0.000 | train_recall: 0.000 | train_auc: 0.500
val_loss: 0.29919 | val_acc: 82.258 | val_precision: 0.000 | val_recall: 0.000 | val_auc: 0.500
test_loss: 0.29854 | test_acc: 82.353 | test_precision: 0.000 | test_recall: 0.000 | test_auc: 0.500

>>>>>>[EMBRYONAL] - 1.1 - 21/30: train_loss: 0.26706 | train_acc: 84.410 | train_precision: 0.000 | train_recall: 0.000 | train_auc: 0.500
val_loss: 0.29542 | val_acc: 82.258 | val_precision: 0.000 | val_recall: 0.000 | val_auc: 0.500
test_loss: 0.29494 | test_acc: 82.353 | test_precision: 0.000 | test_recall: 0.000 | test_auc: 0.500

>>>>>>[EMBRYONAL] - 1.1 - 22/30: train_loss: 0.26029 | train_acc: 84.410 | train_precision: 0.000 | train_recall: 0.000 | train_auc: 0.500
val_loss: 0.29195 | val_acc: 82.258 | val_precision: 0.000 | val_recall: 0.000 | val_auc: 0.500
test_loss: 0.29166 | test_acc: 82.353 | test_precision: 0.000 | test_recall: 0.000 | test_auc: 0.500

>>>>>>[EMBRYONAL] - 1.1 - 23/30: train_loss: 0.27070 | train_acc: 84.410 | train_precision: 0.000 | train_recall: 0.000 | train_auc: 0.500
val_loss: 0.28841 | val_acc: 82.258 | val_precision: 0.000 | val_recall: 0.000 | val_auc: 0.500
test_loss: 0.28827 | test_acc: 82.353 | test_precision: 0.000 | test_recall: 0.000 | test_auc: 0.500

>>>>>>[EMBRYONAL] - 1.1 - 24/30: train_loss: 0.25291 | train_acc: 84.410 | train_precision: 0.000 | train_recall: 0.000 | train_auc: 0.500
val_loss: 0.28509 | val_acc: 82.258 | val_precision: 0.000 | val_recall: 0.000 | val_auc: 0.500
test_loss: 0.28510 | test_acc: 82.353 | test_precision: 0.000 | test_recall: 0.000 | test_auc: 0.500

>>>>>>[EMBRYONAL] - 1.1 - 25/30: train_loss: 0.25147 | train_acc: 84.410 | train_precision: 0.000 | train_recall: 0.000 | train_auc: 0.500
val_loss: 0.28175 | val_acc: 82.258 | val_precision: 0.000 | val_recall: 0.000 | val_auc: 0.500
test_loss: 0.28190 | test_acc: 82.353 | test_precision: 0.000 | test_recall: 0.000 | test_auc: 0.500

>>>>>>[EMBRYONAL] - 1.1 - 26/30: train_loss: 0.24663 | train_acc: 84.410 | train_precision: 0.000 | train_recall: 0.000 | train_auc: 0.500
val_loss: 0.27850 | val_acc: 82.258 | val_precision: 0.000 | val_recall: 0.000 | val_auc: 0.500
test_loss: 0.27880 | test_acc: 82.353 | test_precision: 0.000 | test_recall: 0.000 | test_auc: 0.500

>>>>>>[EMBRYONAL] - 1.1 - 27/30: train_loss: 0.24363 | train_acc: 84.410 | train_precision: 0.000 | train_recall: 0.000 | train_auc: 0.500
val_loss: 0.27545 | val_acc: 82.258 | val_precision: 0.000 | val_recall: 0.000 | val_auc: 0.500
test_loss: 0.27590 | test_acc: 82.353 | test_precision: 0.000 | test_recall: 0.000 | test_auc: 0.500

>>>>>>[EMBRYONAL] - 1.1 - 28/30: train_loss: 0.24155 | train_acc: 84.410 | train_precision: 0.000 | train_recall: 0.000 | train_auc: 0.500
val_loss: 0.27240 | val_acc: 82.258 | val_precision: 0.000 | val_recall: 0.000 | val_auc: 0.500
test_loss: 0.27299 | test_acc: 82.353 | test_precision: 0.000 | test_recall: 0.000 | test_auc: 0.500

>>>>>>[EMBRYONAL] - 1.1 - 29/30: train_loss: 0.23790 | train_acc: 84.410 | train_precision: 0.000 | train_recall: 0.000 | train_auc: 0.500
val_loss: 0.26930 | val_acc: 82.258 | val_precision: 0.000 | val_recall: 0.000 | val_auc: 0.500
test_loss: 0.27001 | test_acc: 83.007 | test_precision: 1.000 | test_recall: 0.037 | test_auc: 0.519

>>>>>>[EMBRYONAL] - 1.1 - 30/30: train_loss: 0.23493 | train_acc: 84.410 | train_precision: 0.000 | train_recall: 0.000 | train_auc: 0.500
val_loss: 0.26638 | val_acc: 82.258 | val_precision: 0.000 | val_recall: 0.000 | val_auc: 0.500
test_loss: 0.26722 | test_acc: 83.007 | test_precision: 1.000 | test_recall: 0.037 | test_auc: 0.519

>>>>>>[EMBRYONAL] - 1.2 - 1/30: train_loss: 1.04195 | train_acc: 15.604 | train_precision: 0.156 | train_recall: 1.000 | train_auc: 0.500
val_loss: 0.98066 | val_acc: 17.797 | val_precision: 0.178 | val_recall: 1.000 | val_auc: 0.500
test_loss: 0.97972 | test_acc: 17.647 | test_precision: 0.176 | test_recall: 1.000 | test_auc: 0.500

>>>>>>[EMBRYONAL] - 1.2 - 2/30: train_loss: 0.96991 | train_acc: 15.604 | train_precision: 0.156 | train_recall: 1.000 | train_auc: 0.500
val_loss: 0.91874 | val_acc: 17.797 | val_precision: 0.178 | val_recall: 1.000 | val_auc: 0.500
test_loss: 0.91477 | test_acc: 17.647 | test_precision: 0.176 | test_recall: 1.000 | test_auc: 0.500

>>>>>>[EMBRYONAL] - 1.2 - 3/30: train_loss: 0.90377 | train_acc: 15.604 | train_precision: 0.156 | train_recall: 1.000 | train_auc: 0.500
val_loss: 0.86234 | val_acc: 18.644 | val_precision: 0.179 | val_recall: 1.000 | val_auc: 0.505
test_loss: 0.85574 | test_acc: 18.301 | test_precision: 0.178 | test_recall: 1.000 | test_auc: 0.504

>>>>>>[EMBRYONAL] - 1.2 - 4/30: train_loss: 0.84322 | train_acc: 16.044 | train_precision: 0.157 | train_recall: 1.000 | train_auc: 0.503
val_loss: 0.80946 | val_acc: 19.492 | val_precision: 0.181 | val_recall: 1.000 | val_auc: 0.510
test_loss: 0.80050 | test_acc: 19.608 | test_precision: 0.180 | test_recall: 1.000 | test_auc: 0.512

>>>>>>[EMBRYONAL] - 1.2 - 5/30: train_loss: 0.78755 | train_acc: 20.659 | train_precision: 0.164 | train_recall: 1.000 | train_auc: 0.530
val_loss: 0.76288 | val_acc: 24.576 | val_precision: 0.193 | val_recall: 1.000 | val_auc: 0.546
test_loss: 0.75197 | test_acc: 28.105 | test_precision: 0.197 | test_recall: 1.000 | test_auc: 0.563

>>>>>>[EMBRYONAL] - 1.2 - 6/30: train_loss: 0.73742 | train_acc: 32.747 | train_precision: 0.188 | train_recall: 1.000 | train_auc: 0.602
val_loss: 0.72010 | val_acc: 37.288 | val_precision: 0.221 | val_recall: 1.000 | val_auc: 0.619
test_loss: 0.70751 | test_acc: 43.137 | test_precision: 0.237 | test_recall: 1.000 | test_auc: 0.655

>>>>>>[EMBRYONAL] - 1.2 - 7/30: train_loss: 0.69221 | train_acc: 51.648 | train_precision: 0.244 | train_recall: 1.000 | train_auc: 0.714
val_loss: 0.68158 | val_acc: 56.780 | val_precision: 0.279 | val_recall: 0.905 | val_auc: 0.700
test_loss: 0.66759 | test_acc: 62.745 | test_precision: 0.303 | test_recall: 0.852 | test_auc: 0.716

>>>>>>[EMBRYONAL] - 1.2 - 8/30: train_loss: 0.65154 | train_acc: 70.769 | train_precision: 0.332 | train_recall: 0.859 | train_auc: 0.769
val_loss: 0.64718 | val_acc: 75.424 | val_precision: 0.405 | val_recall: 0.810 | val_auc: 0.776
test_loss: 0.63205 | test_acc: 79.085 | test_precision: 0.444 | test_recall: 0.741 | test_auc: 0.771

>>>>>>[EMBRYONAL] - 1.2 - 9/30: train_loss: 0.61512 | train_acc: 79.780 | train_precision: 0.407 | train_recall: 0.648 | train_auc: 0.737
val_loss: 0.61569 | val_acc: 81.356 | val_precision: 0.481 | val_recall: 0.619 | val_auc: 0.737
test_loss: 0.59961 | test_acc: 82.353 | test_precision: 0.500 | test_recall: 0.556 | test_auc: 0.718

>>>>>>[EMBRYONAL] - 1.2 - 10/30: train_loss: 0.58213 | train_acc: 85.055 | train_precision: 0.528 | train_recall: 0.394 | train_auc: 0.665
val_loss: 0.58843 | val_acc: 84.746 | val_precision: 0.636 | val_recall: 0.333 | val_auc: 0.646
test_loss: 0.57160 | test_acc: 86.275 | test_precision: 0.688 | test_recall: 0.407 | test_auc: 0.684

>>>>>>[EMBRYONAL] - 1.2 - 11/30: train_loss: 0.55300 | train_acc: 87.033 | train_precision: 0.700 | train_recall: 0.296 | train_auc: 0.636
val_loss: 0.56358 | val_acc: 85.593 | val_precision: 0.833 | val_recall: 0.238 | val_auc: 0.614
test_loss: 0.54614 | test_acc: 86.275 | test_precision: 0.875 | test_recall: 0.259 | test_auc: 0.626

>>>>>>[EMBRYONAL] - 1.2 - 12/30: train_loss: 0.52659 | train_acc: 86.154 | train_precision: 0.833 | train_recall: 0.141 | train_auc: 0.568
val_loss: 0.54139 | val_acc: 83.898 | val_precision: 1.000 | val_recall: 0.095 | val_auc: 0.548
test_loss: 0.52347 | test_acc: 84.314 | test_precision: 1.000 | test_recall: 0.111 | test_auc: 0.556

>>>>>>[EMBRYONAL] - 1.2 - 13/30: train_loss: 0.50301 | train_acc: 84.835 | train_precision: 0.667 | train_recall: 0.056 | train_auc: 0.526
val_loss: 0.52172 | val_acc: 83.051 | val_precision: 1.000 | val_recall: 0.048 | val_auc: 0.524
test_loss: 0.50344 | test_acc: 83.660 | test_precision: 1.000 | test_recall: 0.074 | test_auc: 0.537

>>>>>>[EMBRYONAL] - 1.2 - 14/30: train_loss: 0.48196 | train_acc: 84.615 | train_precision: 0.667 | train_recall: 0.028 | train_auc: 0.513
val_loss: 0.50383 | val_acc: 83.051 | val_precision: 1.000 | val_recall: 0.048 | val_auc: 0.524
test_loss: 0.48525 | test_acc: 82.353 | test_precision: 0.000 | test_recall: 0.000 | test_auc: 0.500

>>>>>>[EMBRYONAL] - 1.2 - 15/30: train_loss: 0.46299 | train_acc: 84.835 | train_precision: 1.000 | train_recall: 0.028 | train_auc: 0.514
val_loss: 0.48790 | val_acc: 82.203 | val_precision: 0.000 | val_recall: 0.000 | val_auc: 0.500
test_loss: 0.46910 | test_acc: 82.353 | test_precision: 0.000 | test_recall: 0.000 | test_auc: 0.500

>>>>>>[EMBRYONAL] - 1.2 - 16/30: train_loss: 0.44588 | train_acc: 84.615 | train_precision: 1.000 | train_recall: 0.014 | train_auc: 0.507
val_loss: 0.47331 | val_acc: 82.203 | val_precision: 0.000 | val_recall: 0.000 | val_auc: 0.500
test_loss: 0.45434 | test_acc: 82.353 | test_precision: 0.000 | test_recall: 0.000 | test_auc: 0.500

>>>>>>[EMBRYONAL] - 1.2 - 17/30: train_loss: 0.43021 | train_acc: 84.615 | train_precision: 1.000 | train_recall: 0.014 | train_auc: 0.507
val_loss: 0.46048 | val_acc: 82.203 | val_precision: 0.000 | val_recall: 0.000 | val_auc: 0.500
test_loss: 0.44140 | test_acc: 82.353 | test_precision: 0.000 | test_recall: 0.000 | test_auc: 0.500

>>>>>>[EMBRYONAL] - 1.2 - 18/30: train_loss: 0.41643 | train_acc: 84.615 | train_precision: 1.000 | train_recall: 0.014 | train_auc: 0.507
val_loss: 0.44862 | val_acc: 82.203 | val_precision: 0.000 | val_recall: 0.000 | val_auc: 0.500
test_loss: 0.42945 | test_acc: 82.353 | test_precision: 0.000 | test_recall: 0.000 | test_auc: 0.500

>>>>>>[EMBRYONAL] - 1.2 - 19/30: train_loss: 0.40365 | train_acc: 84.396 | train_precision: 0.000 | train_recall: 0.000 | train_auc: 0.500
val_loss: 0.43793 | val_acc: 82.203 | val_precision: 0.000 | val_recall: 0.000 | val_auc: 0.500
test_loss: 0.41870 | test_acc: 82.353 | test_precision: 0.000 | test_recall: 0.000 | test_auc: 0.500

>>>>>>[EMBRYONAL] - 1.2 - 20/30: train_loss: 0.39210 | train_acc: 84.396 | train_precision: 0.000 | train_recall: 0.000 | train_auc: 0.500
val_loss: 0.42820 | val_acc: 82.203 | val_precision: 0.000 | val_recall: 0.000 | val_auc: 0.500
test_loss: 0.40894 | test_acc: 82.353 | test_precision: 0.000 | test_recall: 0.000 | test_auc: 0.500

>>>>>>[EMBRYONAL] - 1.2 - 21/30: train_loss: 0.38168 | train_acc: 84.396 | train_precision: 0.000 | train_recall: 0.000 | train_auc: 0.500
val_loss: 0.41924 | val_acc: 82.203 | val_precision: 0.000 | val_recall: 0.000 | val_auc: 0.500
test_loss: 0.39996 | test_acc: 82.353 | test_precision: 0.000 | test_recall: 0.000 | test_auc: 0.500

>>>>>>[EMBRYONAL] - 1.2 - 22/30: train_loss: 0.37199 | train_acc: 84.396 | train_precision: 0.000 | train_recall: 0.000 | train_auc: 0.500
val_loss: 0.41091 | val_acc: 82.203 | val_precision: 0.000 | val_recall: 0.000 | val_auc: 0.500
test_loss: 0.39162 | test_acc: 82.353 | test_precision: 0.000 | test_recall: 0.000 | test_auc: 0.500

>>>>>>[EMBRYONAL] - 1.2 - 23/30: train_loss: 0.36295 | train_acc: 84.396 | train_precision: 0.000 | train_recall: 0.000 | train_auc: 0.500
val_loss: 0.40343 | val_acc: 82.203 | val_precision: 0.000 | val_recall: 0.000 | val_auc: 0.500
test_loss: 0.38417 | test_acc: 82.353 | test_precision: 0.000 | test_recall: 0.000 | test_auc: 0.500

>>>>>>[EMBRYONAL] - 1.2 - 24/30: train_loss: 0.35508 | train_acc: 84.396 | train_precision: 0.000 | train_recall: 0.000 | train_auc: 0.500
val_loss: 0.39636 | val_acc: 82.203 | val_precision: 0.000 | val_recall: 0.000 | val_auc: 0.500
test_loss: 0.37712 | test_acc: 82.353 | test_precision: 0.000 | test_recall: 0.000 | test_auc: 0.500

>>>>>>[EMBRYONAL] - 1.2 - 25/30: train_loss: 0.34760 | train_acc: 84.396 | train_precision: 0.000 | train_recall: 0.000 | train_auc: 0.500
val_loss: 0.38980 | val_acc: 82.203 | val_precision: 0.000 | val_recall: 0.000 | val_auc: 0.500
test_loss: 0.37058 | test_acc: 82.353 | test_precision: 0.000 | test_recall: 0.000 | test_auc: 0.500

>>>>>>[EMBRYONAL] - 1.2 - 26/30: train_loss: 0.34047 | train_acc: 84.396 | train_precision: 0.000 | train_recall: 0.000 | train_auc: 0.500
val_loss: 0.38371 | val_acc: 82.203 | val_precision: 0.000 | val_recall: 0.000 | val_auc: 0.500
test_loss: 0.36455 | test_acc: 82.353 | test_precision: 0.000 | test_recall: 0.000 | test_auc: 0.500

>>>>>>[EMBRYONAL] - 1.2 - 27/30: train_loss: 0.33420 | train_acc: 84.396 | train_precision: 0.000 | train_recall: 0.000 | train_auc: 0.500
val_loss: 0.37794 | val_acc: 82.203 | val_precision: 0.000 | val_recall: 0.000 | val_auc: 0.500
test_loss: 0.35881 | test_acc: 82.353 | test_precision: 0.000 | test_recall: 0.000 | test_auc: 0.500

>>>>>>[EMBRYONAL] - 1.2 - 28/30: train_loss: 0.32757 | train_acc: 84.396 | train_precision: 0.000 | train_recall: 0.000 | train_auc: 0.500
val_loss: 0.37252 | val_acc: 82.203 | val_precision: 0.000 | val_recall: 0.000 | val_auc: 0.500
test_loss: 0.35346 | test_acc: 82.353 | test_precision: 0.000 | test_recall: 0.000 | test_auc: 0.500

>>>>>>[EMBRYONAL] - 1.2 - 29/30: train_loss: 0.32180 | train_acc: 84.396 | train_precision: 0.000 | train_recall: 0.000 | train_auc: 0.500
val_loss: 0.36742 | val_acc: 82.203 | val_precision: 0.000 | val_recall: 0.000 | val_auc: 0.500
test_loss: 0.34842 | test_acc: 82.353 | test_precision: 0.000 | test_recall: 0.000 | test_auc: 0.500

>>>>>>[EMBRYONAL] - 1.2 - 30/30: train_loss: 0.31662 | train_acc: 84.396 | train_precision: 0.000 | train_recall: 0.000 | train_auc: 0.500
val_loss: 0.36257 | val_acc: 82.203 | val_precision: 0.000 | val_recall: 0.000 | val_auc: 0.500
test_loss: 0.34362 | test_acc: 82.353 | test_precision: 0.000 | test_recall: 0.000 | test_auc: 0.500

>>>>>>[EMBRYONAL] - 1.3 - 1/30: train_loss: 0.72025 | train_acc: 43.137 | train_precision: 0.133 | train_recall: 0.459 | train_auc: 0.443
val_loss: 0.68919 | val_acc: 55.263 | val_precision: 0.133 | val_recall: 0.333 | val_auc: 0.464
test_loss: 0.69380 | test_acc: 49.673 | test_precision: 0.153 | test_recall: 0.407 | test_auc: 0.462

>>>>>>[EMBRYONAL] - 1.3 - 2/30: train_loss: 0.67154 | train_acc: 60.566 | train_precision: 0.164 | train_recall: 0.351 | train_auc: 0.503
val_loss: 0.64691 | val_acc: 70.175 | val_precision: 0.192 | val_recall: 0.278 | val_auc: 0.530
test_loss: 0.65040 | test_acc: 67.974 | test_precision: 0.194 | test_recall: 0.259 | test_auc: 0.515

>>>>>>[EMBRYONAL] - 1.3 - 3/30: train_loss: 0.62890 | train_acc: 72.331 | train_precision: 0.188 | train_recall: 0.216 | train_auc: 0.518
val_loss: 0.60997 | val_acc: 76.316 | val_precision: 0.154 | val_recall: 0.111 | val_auc: 0.498
test_loss: 0.61248 | test_acc: 72.549 | test_precision: 0.143 | test_recall: 0.111 | test_auc: 0.484

>>>>>>[EMBRYONAL] - 1.3 - 4/30: train_loss: 0.59036 | train_acc: 78.649 | train_precision: 0.214 | train_recall: 0.122 | train_auc: 0.518
val_loss: 0.57757 | val_acc: 80.702 | val_precision: 0.167 | val_recall: 0.056 | val_auc: 0.502
test_loss: 0.57927 | test_acc: 77.124 | test_precision: 0.214 | test_recall: 0.111 | test_auc: 0.512

>>>>>>[EMBRYONAL] - 1.3 - 5/30: train_loss: 0.55560 | train_acc: 81.699 | train_precision: 0.273 | train_recall: 0.081 | train_auc: 0.520
val_loss: 0.54885 | val_acc: 82.456 | val_precision: 0.000 | val_recall: 0.000 | val_auc: 0.490
test_loss: 0.54985 | test_acc: 80.392 | test_precision: 0.000 | test_recall: 0.000 | test_auc: 0.488

>>>>>>[EMBRYONAL] - 1.3 - 6/30: train_loss: 0.52570 | train_acc: 82.571 | train_precision: 0.250 | train_recall: 0.041 | train_auc: 0.509
val_loss: 0.52367 | val_acc: 83.333 | val_precision: 0.000 | val_recall: 0.000 | val_auc: 0.495
test_loss: 0.52402 | test_acc: 82.353 | test_precision: 0.000 | test_recall: 0.000 | test_auc: 0.500

>>>>>>[EMBRYONAL] - 1.3 - 7/30: train_loss: 0.50027 | train_acc: 83.442 | train_precision: 0.250 | train_recall: 0.014 | train_auc: 0.503
val_loss: 0.50163 | val_acc: 84.211 | val_precision: 0.000 | val_recall: 0.000 | val_auc: 0.500
test_loss: 0.50145 | test_acc: 82.353 | test_precision: 0.000 | test_recall: 0.000 | test_auc: 0.500

>>>>>>[EMBRYONAL] - 1.3 - 8/30: train_loss: 0.47763 | train_acc: 83.660 | train_precision: 0.000 | train_recall: 0.000 | train_auc: 0.499
val_loss: 0.48269 | val_acc: 84.211 | val_precision: 0.000 | val_recall: 0.000 | val_auc: 0.500
test_loss: 0.48204 | test_acc: 82.353 | test_precision: 0.000 | test_recall: 0.000 | test_auc: 0.500

>>>>>>[EMBRYONAL] - 1.3 - 9/30: train_loss: 0.45951 | train_acc: 83.878 | train_precision: 0.000 | train_recall: 0.000 | train_auc: 0.500
val_loss: 0.46560 | val_acc: 84.211 | val_precision: 0.000 | val_recall: 0.000 | val_auc: 0.500
test_loss: 0.46451 | test_acc: 82.353 | test_precision: 0.000 | test_recall: 0.000 | test_auc: 0.500

>>>>>>[EMBRYONAL] - 1.3 - 10/30: train_loss: 0.44295 | train_acc: 83.878 | train_precision: 0.000 | train_recall: 0.000 | train_auc: 0.500
val_loss: 0.45098 | val_acc: 84.211 | val_precision: 0.000 | val_recall: 0.000 | val_auc: 0.500
test_loss: 0.44952 | test_acc: 82.353 | test_precision: 0.000 | test_recall: 0.000 | test_auc: 0.500

>>>>>>[EMBRYONAL] - 1.3 - 11/30: train_loss: 0.42406 | train_acc: 83.878 | train_precision: 0.000 | train_recall: 0.000 | train_auc: 0.500
val_loss: 0.43785 | val_acc: 84.211 | val_precision: 0.000 | val_recall: 0.000 | val_auc: 0.500
test_loss: 0.43607 | test_acc: 82.353 | test_precision: 0.000 | test_recall: 0.000 | test_auc: 0.500

>>>>>>[EMBRYONAL] - 1.3 - 12/30: train_loss: 0.40939 | train_acc: 83.878 | train_precision: 0.000 | train_recall: 0.000 | train_auc: 0.500
